,Alabama,English,Class,Principal Parts,Derivation,Notes
5389,wìika,"to live somewhere, stay at a place, be located, hang around (of one)",-LI,"wìihiska, -, -",[/wii-ka1],
5390,wíika,to keep on doing; to still be living (of one),,,,
5391,wiikàachi,"to live somewhere, stay at a place, be located, hang around (of two)",,,[/wii-ka1],
5392,wiili,Var. of wihli,,,,
5393,wiilichi,to shake (something) (of one),-LI/CHA-,"wiichichi, -, -",[prob. /wii-li-chi2],
5394,wilichoolaksi,tongue of a shoe,,,[/wilo /ichoolaksi],
5395,wiliksi,to be gathered (of fabric),,,,
5396,wilintalka,heel (of a shoe),,,[/wilo im- /tal(àa)-ka1],
5397,wilintalka hochaaha,high heel shoes,,,[/wilo im- /tal(àa)-ka1],
5398,wilistiyyòoka,"shoe lace, lace",,,[/wilo ist-im- /yòo-ka1],
5399,wilitapatkáachi,"flat heeled shoes, tennis shoes",,,[/wilo ita- /pat(àa)-ka1],
5400,wilo,shoe,,,,
5401,wilohakcho ishobaski,pair of boots,,,[/wilo /hakcho ist-ho- /baski],
5402,wilo iⁿhakchíisa,boot; high top shoes,,,[/wilo im- /hakcho /(i)sa],
5403,wilo iⁿhakcho,top of the shoe,,,[/wilo im- /hakcho],
5404,wilo paahaɬka,overshoes,,,[/wilo paa- /haɬi-ka1],
5405,wiloshamohka,shoe polish,,,[/wilo ist- /hamoh-ka1],
5406,wilospaahaɬka,Var. of wilo paahaɬka,,,,
5407,wilostalpasoilka,shoe polish,,,[/wilo ist- /a<l>posoh<il>-ka1],
5408,wilostalpasooha,Var. of wilostaposooha,,,,
5409,wilostalposooha,shoe polish,,,[/wilo ist- /a<l>posoh-a],
5410,winàali,"to swing; to flutter, jiggle",-LI,"winàachi, winàahili, winàahachi",[/winàa-li],
5411,winàalichi,"to shake, jiggle, or swing (someone or thing) (repeatedly)",-LI/CHA-,"winàachichi, winàahilichi, winàahachichi",[/winàa-li-chi1],
5412,wininìhka,Var. of wininihkachi,,,,
5413,wininihkachi,"rumble, rumbling noise (e.g. thunder)",,,[/wininih-ka1],
5414,wininihlichi,"to make a rumbling noise, rumble",,,[/wininih-li-chi2],
5415,wininiilichi,"to shiver, shake all over",-LI,"wininiichichi, wininiihilichi, wininiihachichi",[/wininih-li-chi2],
5416,winóhlóosi,Var. of winóolòosi,,,,
5417,winòoli,"to shake oneselves repeatedly, jiggle, swing (of more than one)",-LI,"-, winòohili, winòohachi",[/wino(t)-li],
5418,winòolichi,"to shake repeatedly, rock (e.g. a baby)",-LI/CHA-,"winòochichi, winòohilichi, winòohachichi",[/wino(t)-li-chi1],
5419,winóolòosi,"to sway (as an old person walking or as a truck under a heavy load), shake under the strain of a load (as a bridge)",-LI,"winóolòostiska, winóolòostilka, winóolòostaska",[/winoh-li-osi],
5420,winotlichi,"to shake (once), jar, jerk, rock (one time)",-LI/CHA-,"winotchichi, winothilichi, winothachichi",[/winot-li-chi1],
5421,wisisihka,something that will make one nervous,,,[/wisisih-ka1],
5422,wisisihkachi,to be nervous,CHA-,,[/wisisih-ka1],
5423,wisisihlichi,"to shake, shiver, quake, tremble, quiver involuntarily (as with palsy, chills, fever, nervousness)",CHA-,,[/wisisih-li-chi2],
5424,wisisìilichi,Var. of wisisihlichi,,,,
5425,wiyaachi,Var. of wihaachi,,,,
5426,wiyaali,Var. of wayàali,,,,
5427,Wodba,Var. of Wodwiila,,,,
5428,Wodfiilka,Var. of Wodwiila,,,,
5429,Wodwiila,"Woodville, Texas",,,,
5430,wohka,to bark,-LI,"wohiska, wohilka, wohaska",[/woh-ka1],
5431,wohlichi,to bark at,-LI/CHA-,"wohchichi, wohhilichi, wohhachichi",[/woh-li-chi1],
5432,woíkko,Negative form of wohka,,,,
5433,woksipaali,"egret, `whooping crane', prob. any large long-legged white bird",,,,
5434,wolohíkko,Negative form of wolohki,,,,
5435,wolohki,"to gel, congeal, turn to jelly, clot (of blood), curdle (of milk), clabber",,,,
5436,wóokìicho,Negative form of wòolichi,,,,
5437,wooksi,"to be furry, woolly, bushy; to be mussed, unruly, wild (of hair)",CHA-,,,
5438,wòolichi,"to root up (e.g. of a hog or armadillo), sniff out (food), root around, dig up (food)",,,[/wòo-li-chi2],
5439,woomaalpa,deafness,,,[/woomaa<l>pa],
5440,woomaapa,to be deaf; to be unable to hear because the ears are ringing,Other Verb,,,
5441,woomaapachi,to make deaf,-LI/CHA-,"woomaapachitiska, woomaapachitilka, woomaapachitaska",[/woomaapa-chi1],
5442,woomaapatilka,deafness,,,[/woomaapa-tilka],
5443,wotòolichi,to crunch with the teeth; to grind (the teeth); to chew something up into pieces,-LI/3,"wotòochichi, wotòohilichi, wotòohachichi",[/wotòo-li-chi2],
5444,wowohka,Var. of wohka,,,,
5445,aabàachi,teacher,,,,
5446,aabachi,"to teach (a subject), instruct",-LI/3,"aabachitiska, aabachitilka, aabachitaska",,
5447,aabachitíkko,Negative form of aabachi,,,,
5448,aabachitilka,teaching,,,[/aabachi-tilka],
5449,aabalàilka,bed; bedroom,,,[aa- /balàa<il>-ka1],
5450,aabalàilkasi,cot,,,[aa- /balàa<il>-ka1],
5451,aabitka,"dance grounds, stomp grounds, dancehall",,,[aa- /bit-ka1],
5452,aabóhko,Negative form of aabohli,,,,
5453,aabohli,"to clean, wash; to scrub, rub clean",-LI/3,"aabohchi, aabohhili, aabohhachi",[/aaboh-li],
5454,aachàaka,Var. of ahachàaka,,,,
5455,aachàaka holisso,Var. of ahachàaka holisso,,,,
5456,aacháako,Var. of ahachàako,,,,
5457,aachàali,Var. of ahachàali,,,,
5458,áachàasi,just right outside,,,[/acha-osi],
5459,aachikìika,to be put in a specific location (of a few),Other Verb,,[aa- /chikìi-ka1],
5460,aachikìika,to settle in a certain location (of a few),Other Verb,,[aa- /chikìi-ka1],
5461,àafiska,office,,,[/àafis-ka3],
5462,aahaapilka,"bathtub; dishpan; swimming pool, swimming hole",,,[aa- /haap<il>-ka1],
5463,aahaatanatka,"turnaround, turnout, crossover in a divided highway",,,[aa- /haatanat-ka1],
5464,aahapkachi,"pan for giving a bath (to a baby), basin",,,[aa- /hap-ka1],
5465,aahiɬka,heater,,,[aa- /hiɬ-ka1],
5466,aahisli,to borrow (of more than one),-LI/3,"-, aahishili, aahishachi",[prob. aa- /his-li],
5467,aahislichi,to extend credit to more than one person,-LI/CHA-,"aahischichi, aahishilichi, aahishachichi",[/aahisli-chi1],
5468,aahofanti,"to be from a place, be born in a certain place",CHA-,,[aa- /hofanti],
5469,aaholba,studio (artist's or photography),,,[aa- /holba],
5470,aaholippola,"latrine, temporary toilet",,,[aa- /ho<li>ppola],
5471,aaholippola iisasi,outhouse,,,[aa- /ho<li>ppola /iisa-osi],
5472,aaholiswa,"bathroom, toilet, urinal, bedpan",,,[aa- /ho<li>swa],
5473,aaholponi,"stove, range, oven, microwave; pan, cooking pot",,,[aa- /ho<l>poni],
5474,aahompanka,"amphitheater, gymnasium",,,[aa- /hompani-ka1],
5475,aahoponka,kitchen,,,[aa- /hoponi-ka1],
5476,aahopòoni,kitchen,,,[aa- /hoponi],
5477,aahoppolka,"bathroom, outhouse, restroom; toilet, commode",,,[aa- /hoppola-ka1],
5478,aahoppolka iisasi,outhouse,,,[aa- /hoppola-ka1],
5479,aakasahka,"freezer, refrigerator",,,[aa- /kasa<h>t-ka1],
5480,aakmi,Var. of akmi,,,,
5481,aakmistatakka,Var. of akmistatakka,,,,
5482,aalaana,"any red oak, burr oak, overcup oak, southern red oak",,,,
5483,aalhíkko,Negative form of ahalka,,,,
5484,aalibatka,"any place for cooking such as oven, stove, pots and pans, barbecue pit",,,[aa- /libat-ka1],
5485,aalka,Var. of ahalka,,,,
5486,aalo,Var. of ahaalo,,,,
5487,áalo,"to wish for, hope for something, want, expect; to wonder about, think about, guess at, worry about",-LI/3; -LI/CHA-,"assíilo, alíilo, ashachíilo",[/alo (?)],
5488,aalokha,brain; bone marrow,AM-p,,,
5489,aalokòoka,church (building),,,[aa- /lokoo-ka1],
5490,aalokòoli,church (building),,,[aa- /lokoo-li],
5491,aalomhi,to block,Other Verb,,[aa- /lomhi (?)],
5492,aaloⁿhilka,"hiding place, cache, hide-out",,,[aa- /lomhi<hil>-ka1],
5493,áalòosi,"(do) a lot, (do) too much, very, too",,,[poss. -/áali-osi],
5494,àaɬi,to wear (e.g. gloves) on the hand,-LI/3,"àaɬchi, àaɬhili, àaɬhachi",[/aɬi],
5495,aaɬoyhilka,"bathroom, toilet, urinal, bedpan",,,[aa- /ɬoy<hil>-ka1],
5496,aaɬoyilka,Var. of aaɬoyhilka,,,,
5497,aamat-,<br/>,,,,
5498,aamatka,"to disperse, scatter, all go home, break up a meeting; to be scrambled (of eggs)",-LI,"-, aamatilka, aamataska",[/aamat-ka1],
5499,aamatli,"to scatter (a bunch), disperse, mix into, crumble up; to scramble (an egg); to spread (the word)",-LI/CHA-,"aamatchi, aamathili, aamathachi",[/aamat-li],
5500,áammatka,to be scattered all over,CHA-,,[/aamat-ka1],
5501,aapàkha,"shoulder blade, back of shoulder",CHA-,,,
5502,aapihchi,body,CHA-,,,
5503,aapihchi istilatonka,body armor,,,[ist-ili- /atomhi-ka1],
5504,aapikìtto,Negative form of aapitta,,,,
5505,aapitta,to put in (plural objects); to can (food),-LI/CHA-,"aapichitta, aapilitta/alpitta, aapihachitta",,
5506,áapo,grandmother,AM-p,,,
5507,áapochòoba,"grandmother, greataunt, forebear, female ancestor",,,[/áapo /achòoba],
5508,aapooba,Var. of alpooba,,,,
5509,áaposi,"paternal aunt, father's sister",AM-p,,[/áapo-osi],
5510,aapoyatli,stew pan,,,[aa- /poyat-li],
5511,àasa,"to be with, be mixed with, be included with, be together with, be added to, be plus; to inherit",-LI/CHA-,"àaschi, àashili, àashachi",[/asa],
5512,aasih-,<br/>,,,,
5513,aasihíkko,Negative form of aasihka,,,,
5514,aasihka,"to be washed, to have been washed",CHA-,,[/aasih-ka1],
5515,aasìhko,Negative form of aasihli,,,,
5516,aasihli,"to wash (something), brush (the teeth)",-LI/CHA-,"aasihchi, aasihhili, aasihhachi",[/aasih-li],
5517,aasiili,Var. of aasihli,,,,
5518,àasko,Negative form of àasa,,,,
5519,aasobayli,schoolhouse,,,[aa- /sobay-li],
5520,aasobohli,"fireplace, chimney",,,[aa- /sobo<h>t-li],
5521,aasoboolifa imitalokòoli,andirons,,,[aa- /sobo<h>t-li-fa im-ita- /lokoo-li],
5522,aasobotli,"fireplace, chimney; any place for drying or smoking, such as a smokehouse",,,[aa- /sobot-li],
5523,aasoopka,Var. of aksoopka,,,,
5524,àata,"to stay, be located, be here, be there, live (of one or two)",-LI,"achìita, alìita, ahachìita",[/atta with consonant degemination?],
5525,aataayòompa,any place to eat,,,[aati-aa- /oompa],
5526,aataksi,Var. of ahataksi,,,,
5527,aataksibahka,Var. of ahataksi bahka,,,,
5528,aataksi ipa,potato bug,,,[/aha /taksi /ipa],
5529,aataksipa,Var. of aataksi ipa,,,,
5530,aataksi solotka,Var. of ahataksi solotka,,,,
5531,aatalikchi,"doctor; medicine maker, shaman",,,[/aati /alikchi],
5532,aatalòosti,braggart,,,[/aati /alosti],
5533,aatanatka,stairs,,,[aa- /tanat-ka1],
5534,aatapihhómma,Var. of aati aapihchi hómma,,,,
5535,aatapihómma,Var. of aati aapihchi hómma,,,,
5536,aatasihka,law enforcer,,,[/aati /asih-ka1],
5537,àatatíkko,Negative form of àata,,,,
5538,aatatka,"white person, Anglo, Caucasian; boss, teacher",,,[/aati /hat-ka1],
5539,aatatkasi,"Anglo child, white child",,,[/aati /hatka-osi],
5540,aatayokíkpo,"gloomy, depressed person, depressive",,,[/aati /ayo<kí>kpa-o2],
5541,aatchakosi,"dwarf, midget",,,[/aati /chaki-osi],
5542,aatchitìika,wrestler,,,[/aati /chitii-ka1],
5543,aatchofkoni,"skeleton, human bones",,,[/aati /chofkoni],
5544,aatchòoba,"old person, senior citizen, elderly person",,,[/aati /achòoba],
5545,aathochòobimìistilka,"nursing home, retirement home",,,[/aati ho- /achòoba im- /ìisa-tilka],
5546,aatholba,"picture (of a person), photograph, portrait",,,[/aati /holba],
5547,aatholba istatakàaka,picture frame,,,[/aati /holba ist- /atakàa-ka1],
5548,aatholbasi,doll,,,[/aati /holba-osi],
5549,aathollo,"witch, sorcerer",,,[/aati /hollo],
5550,aathómma,Var. of aatihòmma,,,,
5551,aathòmma,Var. of aatihòmma,,,,
5552,aathòmma imìistilka,Indian reservation,,,[/aati /homma im- /(i)sa-tilka],
5553,aathòmma imoolachòoba,Indian reservation,,,[/aati /homma im- /oola /achòoba],
5554,aathòmma ispaanihókkìita,"half-breed, Indian and Mexican",,,[/aati /homma /ispaani /hókkìita],
5555,aathómma istiⁿyyaatala,"traditional Indian ceremonial headdress, war bonnet",,,[/aati /homma ist-im- /yaatal(aa)-a],
5556,aathòmma loochahókkìita,"half-breed, Indian and black",,,[/aati /homma /loocha /hókkìita],
5557,aathòmma tatkahókkìita,"half-breed, Indian and white or Indian and black",,,[/aati /homma /aati /hat-ka1],
5558,aathompàani,"actor, actress",,,[/aati /hompani],
5559,aathoopa iswihka,ambulance,,,[/aati /hoopa ist- /wih-ka1],
5560,aathoopimiisa,hospital,,,[/aati /hoopa im- /iisa],
5561,aati,"American Indian, Native American; person, human being",,,,
5562,aati aapihchi hómma,"American Indian, Native American",,,[/aati /aapihchi /homma],
5563,aati achaki,midget,,,[/aati /achaki],
5564,aatibi,to commit murder (unspecified object),-LI/3,"aatisbi, aatilbi, aathasbi",[aati- /(i)bi],
5565,aatichóhba,adult person,,,[/aati /choba],
5566,aatichòoba ichokhiska,"Grancy graybeard, fringetree, old man's beard",,,[/aati /achòoba /ichokhiska],
5567,aatichòobichokhiska,Var. of aatichòoba ichokhiska,,,,
5568,aatichoosanàyli,yaupon tree,,,[aati-ichoo- /sanay-li],
5569,aatihàapka,swimmer,,,[/aati /hap-ka$],
5570,aatihàhpa,newcomer,,,[/aati /hahpa],
5571,aatihakkònni,person handicapped with a limp,,,[/aati /hakkonni],
5572,aatihifòoska,"creature, living thing, being, human being",,,[/aati /hifoos-ka1],
5573,aatihínnàata,"leader, officer",,,[aati- /hinaata],
5574,aatihòmma,"American Indian, Native American",,,[/aati /homma],
5575,aatihòmma imbitka,stomp dance,,,[/aati /homma im- /bit-ka1],
5576,aatihòoba,thief,,,[/aati /hòoba],
5577,aatìibi,"murderer, killer",,,[aati- /(i)bi],
5578,aati imaayttanolìwwootoha,old Indian trace or trail through the woods,,,[/aati im-aa- /ittano<li>wwa-ooli-toha],
5579,aati iⁿɬakíisa,police officer,,,[/aati im- /ɬaki /(i)sa],
5580,aatikàano,good person,,,[/aati /kano],
5581,aatikànko,"bad person, enemy",,,[/aati /kano-ki-o2],
5582,aatiki,(my) wife,,,[aati- /iki],
5583,aatikostìnko,crazy person,,,[/aati /kostini-ki-o2],
5584,aatikostìnko imìistilka,"insane asylum, mental hospital",,,[/aati /kostini-ki-o2],
5585,aatilaana,Oriental person,,,[/aati /laana],
5586,aatiláppìili,leader,,,[/aati /ilapih-li],
5587,aatilbi,murder,,,[aati-il- /(i)bi],
5588,aatilhichíkso,"dwarflike being; fairy, elf",,,[/aati il- /hicha ík- /(i)sa-o2],
5589,aatilli,"corpse, the deceased, dead body",,,[/aati /illi],
5590,aatilliha,dead people,,,[/aati /illi-ha1],
5591,aatilli imìisa,"funeral home, mortuary",,,[/aati /illi im- /iisa],
5592,aatilli istìisa,"cemetary, graveyard",,,[/aati /illi ist- /(i)sa],
5593,aatillistàaya,hearse,,,[/aati /illi ist- /aya],
5594,aatilli talbòoli,"undertaker, funeral director",,,[/aati /illi /talbòo-li],
5595,aatilliwìili,hearse,,,[/aati /illi /wih-li],
5596,aatilloska,Var. of aatinloska,,,,
5597,aatiɬaɬo,"mermaid, merman (a creature with the head of a person and the body of a fish)",,,[/aati /ɬaɬo],
5598,aati máali ipa,Var. of aatimáalonipa,,,,
5599,aatimáalonipa,cannibal,,,[/aati-máali-o1],
5600,aatimaɬatli,"timid person, scaredy cat",,,[/aati /maɬat-li],
5601,aatimaníhta,young person,,,[/aati im-a- /níhta],
5602,aatimìntonipa,cannibal,,,[/aati /mìnta-o1],
5603,aatimiyyatìika,Var. of ayitika,,,,
5604,aatimpiskachàali,"whirligig beetle, black water bug",,,[aati-im- /pisi /kacha(ɬ)-li],
5605,aatinaaɬìika,"talker, wordy person",,,[/aati /naaɬii-ka1],
5606,aatinaani,man,,,[/aati /naani],
5607,aatinaani polóoma,sexy man,,,[/aati /naani /polooma],
5608,aatinaani tayyihahókkìita,homosexual man; male transvestite,,,[/aati /naani /tayyi-ha1],
5609,aatináasimíkso,destitute person,,,[/aati /nàasi im- /ik- /(i)sa-o2],
5610,aatinàasisobàayli,fortune teller,,,[/aati /nàasi /sobay-li],
5611,aatinàassobáyli,Var. of aatinàasisobàayli,,,,
5612,aatinakàaɬa,"the deceased, dead person",,,[/aati /nakaaɬa],
5613,aatinássobáyli,Var. of aatinàasisobàayli,,,,
5614,aatiⁿhinootoha,"trace, old trail",,,[/aati im- /hini-ooli-toha],
5615,aatiⁿhinosootoha,"trace, old trail",,,[/aati im- /hini-osi-ooli-toha],
5616,aatinka,to give away to,-LI/3/3,"aatiⁿiska, aatiⁿilka, aatiⁿaska",[aati-im- -/ka],
5617,aatinloska,devil,,,[/aati im- /los-ka1],
5618,aatinnaaɬiilka,any Indian language,,,[/aati im- /naaɬii<il>-ka1],
5619,aatintaata,(my) husband,,,[aati-im- /taata],
5620,aati ombitìika,"burial, funeral",,,[/aati /ombitìi-ka1],
5621,aatipachoba,elephant,,,[aati- /(i)pa /choba],
5622,aatipachobahakcho,"elephant-ear plant, catalpa",,,[aati- /(i)pa /choba /hakcho],
5623,aatipachobinchaabi,rattan,,,[aati- /ipa /choba im- /chaabi],
5624,aatisáhtík,anyone,,,[/aati /sá<h>mi-tika],
5625,aatisakbacháⁿhkàssi,one-armed person,,,[/aati /sakba /cháⁿhka-osi],
5626,aatisholba,camera,,,[/aati ist- /holba],
5627,aatisholba istimalpitta,photographic film,,,[/aati ist- /holba ist-im- /aa<l>pitta],
5628,aatisíhno,"senior citizen, elderly person",,,[/aati /síhno],
5629,aatismaɬatkachi,scarecrow,,,[/aati ist- /maɬat-ka1],
5630,aatisnáaho,"rich person, wealthy person",,,[/aati ist- /naho],
5631,aatisnokchobaachitilka,stop sign,,,[aati-ist- /nokchoba-chi1],
5632,aatistàaya,bus; ambulance,,,[aati-ist- /àaya],
5633,aatistimapilka,"social worker, welfare worker",,,[/aati ist-im- /apila-ka1],
5634,aatistiⁿhínnàata,leader,,,[/aati ist-im- /hinaata],
5635,aatitaafolòoka iⁿholikfa,wedding dress,,,[/aati /itaafolòo-ka1],
5636,aatitayyi,"woman, lady",,,[/aati /tayyi],
5637,aatiwakàyka,angel; a witch that can change itself into an animal,,,[/aati /wakay-ka1],
5638,aatkàano,Var. of aatikàano,,,,
5639,aatkànko,Var. of aatikànko,,,,
5640,aatkostìnko,"mentally-ill person, insane person",,,[/aati /kostini-ki-o2],
5641,aatkostìnko imìistilka,"insane asylum, mental hospital",,,[/aati /kostini-ki-o2],
5642,aatlocha,"black person, African-American",,,[/aati /locha],
5643,aatlochasi,Var. of aatloochasi,,,,
5644,aatloochasi,black child,,,[/aati /loocha-osi],
5645,aatlòoska,liar,,,[/aati /los-ka1],
5646,aatnaaɬìika,gossiper,,,[/aati /naaɬii-ka1],
5647,aatnaaɬiilìichi,gossiper,,,[/aati /naaɬii-li-chi1],
5648,aatofilka,spittoon,,,[aa- /tof<il>-ka1],
5649,aatoliiya,Var. of haatoliiya,,,,
5650,aatòocha,"senior citizen, elderly person",,,[/aati /ohóocha],
5651,aatòoka,"playing field, ballfield",,,[aa- /tòo-ka1],
5652,aatosi,American Indian baby or child,,,[/aati-osi],
5653,aatosi ahicha,babysitter,,,[/aati-osi a- /hicha],
5654,aatosi ahíicha,to babysit,,,[/aati-osi a- /híicha],
5655,aatosi ilapìili,baby sitter,,,[/aati-osi /ilapih-li],
5656,aatosi ilhichíkso imiisa,"place in a tree (esp. a pine) where branches are twisted together to form a kind of nest where something, such as the aatosi ilhichíkso, might hide",,,[/aati-osi il- /hicha /ik- /(i)sa-o2],
5657,aatosi imiisa,"placenta, womb",,,[/aati-osi im- /iisa],
5658,aatosi impatka,"baby bed, crib",,,[/aati-osi im- /pat(àa)-ka1],
5659,aatosi intaatasobaíkko,"bastard, illegitimate child",,,[/aati-osi im- /taata /sobay<ík>-ka1],
5660,aatosi istiⁿwwinàaka,"baby swing, baby's hammock",,,[/aati-osi ist-im- /winàa-ka1],
5661,aatosi iwwìika,"to be pregnant, with child",3/AM-,,[/aati-osi im- /wìi-ka1],
5662,aatosischiniika,"cradle basket, a hide pouch for carrying a baby on the back",,,[/aati-osi ist- /chinii-ka1],
5663,aatosischiniilka,"cradle basket, a hide pouch for carrying a baby on the back",,,[/aati-osi ist- /chinii<il>-ka1],
5664,aatosistimpaalpa,sling to carry a baby on the back,,,[/aati-osi ist- /impaa<l>pa],
5665,aatosooya,funnel; place to which plants are transplanted,,,[aa- /tosoy-a],
5666,aatsáwwasi,dwarves,,,[/aati /sawwa-osi],
5667,aatsáwwasi hichíkso,"dwarves, fairies",,,[/aati /sawwa-osi /hicha ik-/isa-o2],
5668,aatsikòopa,poor person,,,[/aati /sikòopa],
5669,aatsikoopali,slave master,,,[/aati /sikoopali],
5670,aatsollokchi,ghost,,,[/aati /sollokchi],
5671,aatsolokchi,Var. of aatsollokchi,,,,
5672,aattobiilachi,devil,,,[/aati /tobila-chi1],
5673,aatyàmmi,drunkard,,,[/aati /yammi],
5674,aatyammichi,honeysuckle,,,[prob. aati- /yammi2],
5675,aawihka,"to get all over, cover (one)",3/CHA-,,,
5676,aawihli,"to investigate, look into everything",-LI/CHA-,"aawihchi, aawihhili, aawihhachi",[/aawih-li],
5677,aawiika,Var. of aawihka,,,,
5678,aawinàaka,"swing, hammock",,,[aa- /winàa-ka1],
5679,àaya,"to go around, be there, be around, be located at a place (of one or two)",-LI,"achìiya, alìiya, aachìiya",[/aya (?)],
5680,áaya,"to be still around, still alive (of one or two)",-LI,"achíiya, alíiya, ahachíiya",[prob. /aya],
5681,aayabànka,"steps over a fence, stile",,,[aa- /aban(at)-ka1],
5682,aayachihka,field (for planting),,,[aa- /achih-ka1],
5683,aayachihka kano,arable land,,,[aa- /achih-ka1],
5684,àayafíhna,to be running around (of one),-LI,"achìiyafíhna, -, -",[/aya-fíhna],
5685,aayaltoba,a place to pay bills,,,[aa- /a<l>toba],
5686,aayaltobaachilka,Var. of aayaltobaachitilka,,,,
5687,aayaltobaachitilka,"a place to pay bills; a ticket (for traffic law violation or for entry into a theater, etc.)",,,[aa- /a<l>toba-chi1],
5688,aayamkolokbi,Var. of aayampo kolokbi,,,,
5689,aayampo,any dish,,,,
5690,aayampo aayaasihka,kitchen sink,,,[/aayampo aa- /aasih-ka1],
5691,aayampo báski,platter,,,[/aayampo /baski],
5692,aayampo kolokbi,bowl,,,[/aayampo /kolokbi],
5693,aayampomiisa,"kitchen cabinet, cupboard",,,[/aayampo im- /iisa],
5694,aayampostaasihka,"sponge, dishrag; dishwater",,,[/aayampo ist- /aasih-ka1],
5695,aayanchahka,glass; window; mirror; warbonnet,,,[poss. aa- /anchahka],
5696,aayanchahka aayampo,glass dish,,,[/aayanchahka /aayampo],
5697,aayanchahkachoba istimalpitta,"chest of drawers, dresser",,,[/aayanchahka /choba ist-im- /aa<l>pitta],
5698,aayanchahka imatakka,window curtain,,,[/aayanchahka im- /atak(àa)-ka1],
5699,aayanchahka impaapatàaka,window sill,,,[/aayanchahka im-paa- /patàa-ka1],
5700,aayanchahka istililhicha,mirror,,,[/aayanchahka ist-ili-il- /hicha],
5701,àayapalammi,"wild person, person running around all the time",,,[/àaya-palammi],
5702,aayaskáahilka,exit,,,[aa- /askah<hil>-ka1],
5703,áaycha,Var. of ahíicha,,,,
5704,aayìistilka,"living room, den",,,[aa- /(i)sa-tilka],
5705,aayilbaasiilka,"lavatory, washing pan, basin",,,[aa- /ilbi /aasih<il>-ka1],
5706,aayilnocha,"motel, hotel",,,[aa-ilt- /nochi-a],
5707,aayiɬka,Var. of aahiɬka,,,,
5708,aayinnochi,any sleeping quarters,,,[aa-im- /nochi],
5709,aayisilka,"cup; bar, tavern",,,[aa- /isko-ilka],
5710,aayisilka hakchonáaho,"mug, cup with a handle",,,[aa- /is(ko)-ilka /hakcho /nàaho],
5711,aayisko,"to drink from, drink out of",-LI/3,"aayisiska, aayisilka, aayisaska",[aa- /isko],
5712,aayistilka,"hotel, motel, inn",,,[aa- /(i)sa-tilka],
5713,aayoholimpa,Var. of aayoolìmpa,,,,
5714,aayokbòokachi,churn,,,[aa- /okbòo-ka1],
5715,aayokhaboskacha,swimming pool,,,[aa- /okhabos-ka1],
5716,aayoolìmpa,"table, dining room",,,[aa- /oo<li>mpa],
5717,aayoolimpa aɬipìika,tablecloth,,,[aa- /oo<li>mpa a- /ɬipìi-ka1],
5718,aayoolimpa paapatàaka,tablecloth,,,[aa- /oo<li>mpa paa- /patàa-ka1],
5719,aaypooba,Var. of alpooba,,,,
5720,aba,any out building with a foundation,,,,
5721,abaahíkko,Negative form of abaaka,,,,
5722,abaaka,"to come together with, meet (someone), esp. head on (on the same road from the opposite direction)",-LI/CHA-,"abaahiska, abaahilka, abaahaska",[/abaa-ka1],
5723,abàali,Var. of abahli,,,,
5724,abaalichi,"to pull up (something), lift, raise (as a flag on a rope)",,,[/abaa-li-chi1],
5725,Abàalichókkòoli,God,,,[/abaa-li /chokòo-li],
5726,Abàalichókkòoli imililla íkso,"God, Jesus",,,[/abaa-li /chokòo-li im- /i<li>lli-a /íkso],
5727,Abaalichokòoli,Var. of Abàalichókkòoli,,,,
5728,abàali iisa,Var. of abàhli iisa,,,,
5729,Abàalimikko,God,,,[/abaa-li /mikko],
5730,abàalokchakko,sky,,,[/abaa-li /okchakko],
5731,abàalokchakkoyáamikát hommaakáhchi,to be purple,CHA-,,[/abaa-li /okchakko-yáami-káami-t /homma-káami-hchi],
5732,abàalokchakkoyáhchi,to be sky-blue,,,[/abaa-li /okchakko-yáami-hchi],
5733,abaanataali,Var. of abaanatahli,,,,
5734,abaanatáhko,Negative form of abaanatahli,,,,
5735,abaanatahli,"to put the head back, tilt the head back (of one)",-LI,"abaanatahchi, -, -",[/abaanatah-li],
5736,abaanatahlichi,to tilt (someone's) head back,-LI/CHA-,"abaanatahchichi, abaanatahhilichi, abaanatahhachichi",[/abaanatah-li-chi1],
5737,abaanatli,"to put the head back, tilt the head back (of more than one)",-LI,"-, abaanathili, abaanathachi",[/abaanat(ah)-li],
5738,abaanáttàali,Var. of abaanáttahli,,,,
5739,abaanáttahli,"to carry the head back, keep the head back, hold the head back (of one)",-LI,"abaanáttahchi, -, -",[/abaanatah-li],
5740,abaapínha,"way up high, far up",,,[/abaa-li /pínha],
5741,abachokòoli,"out building with a dirt floor, especially a smokehouse",,,[/aba /chokòo-li],
5742,abahalo,Var. of abaalo,,,,
5743,abahkìicho,Negative form of abahlichi,,,,
5744,abáhko,Negative form of abahli,,,,
5745,abahli,"sky, heavens; above, up; upstairs",CHA-,,[/abah-li],
5746,abahlichi,"to ascend, rise, take off (as an airplane), go up",-LI,"abahchichi, abahhilichi, abahhachichi",[/abah-li-chi1],
5747,abàhli iisa,heaven,,,[/abah-li /iisa],
5748,abáhlòosi,high,,,[/abah-li-osi],
5749,abahnataali,Var. of abaanatahli,,,,
5750,abáksa,chicken snake,,,,
5751,abáksalocha,chicken snake,,,[/abáksa /locha],
5752,abáksapàlki,coachwhip snake,,,[/abáksa /palki],
5753,abaksapàlki hatka,chicken snake,,,[/abaksa /palki /hatka],
