,Alabama,English,Class
5019,baliyba,"heaviness, weight",
5020,balka,"to go to bed, lie down (of more than one)",-LI
5021,bállàaka,"to be lying down, in bed, be laid up (in bed), bed-ridden (of one)",-LI
5022,bállaska,"to be lying down, in bed, be laid up (in bed), bed-ridden (of two)",-LI
5023,balli,to lay (plural objects) down,-LI/CHA-
5024,balonka,balloon,
5025,baɬapka,"to cut down, flatten, trample, destroy (especially vegetation) (of an animate agent)",-LI/3
5026,baɬápko,Negative form of baɬapli,
5027,baɬapli,"to destroy, raze, flatten (vegetation), level (as a house) (used of a storm or tornado)",
5028,baɬka,"grape, raisin",
5029,baɬkalocha,black grape,
5030,baɬka okchi ataanapli,wine,
5031,baɬkapihchi,wild grape vine,
5032,baɬkapìhchi okchakko,"blue vine with thorns, rattan?",
5033,baɬkokchi,grape juice,
5034,baɬkokchi kamoska,wine,
5035,baɬkokchi kaskaha,wine,
5036,baɬɬichi,"to thin out, clear, hoe (a field, usually for planting), knock down (e.g. weeds, apples)",-LI/3
5037,banàana,Var. of balàana,
5038,bànko,Negative form of banna,CHA-
5039,banna,"to want (some thing or occurrence), need, like, be inclined to, try; to be taken by",Other Verb
5040,bannatíkko,Negative form of banna,
5041,banta,"gar, carp",
5042,Baptiskaha,Baptists,
5043,bas-,,
5044,basaahachi,Var. of basayyachi,
5045,basayyachi,"species of tall plant, having white flowers in large clusters",
5046,basbaki,to be striped,
5047,basbakitíkko,Negative form of basbaki,
5048,basíkko,Negative form of baski,
5049,baska,to be shattered,Other Verb
5050,baska,"to chip, flake with a tool; to shatter (a bottle) to get slivers",Other Verb
5051,báska,school bus,
5052,baski,to be long,Other Verb
5053,baskichi,"to lengthen, let (the hair) grow long",-LI/3
5054,baskìichi,"to lengthen a little, let out a hem",-LI/3
5055,baskìicho,Negative form of baslichi,
5056,básko,Negative form of bas-,
5057,basli,to strike stone (flint) to chip or produce sparks; to flake (stone); to shatter (a bottle) to get slivers,-LI/3
5058,baslichi,"to break up, shatter glass (esp. to get pieces for bloodletting); to flake (stone for arrows)",-LI/3
5059,baslichitíkko,Negative form of baslichi,
5060,basoka,baska2,
5061,bassi,"to be poor, destitute, poverty-stricken; to be weak physically",CHA-
5062,bàta,butter,
5063,batapli,Var. of batatli,
5064,batasbali,"bottomland, creek bottom, blacklands; low clearing in woods",
5065,batatka,"to be hit, struck (one)",CHA-
5066,batátko,Negative form of batatli,
5067,batátkot istanooli,to strike out (in baseball),-LI/3
5068,batatli,to hit (once); to beat in a game,
5069,bátchàali,to wear (a ribbon) in the hair,-LI/3
5070,batimokchi,Var. of batokchi,
5071,batka,whipping,
5072,bátko,Negative form of batli,
5073,batli,"to whip, hit (plural objects or repeatedly), beat up, tap, rap",-LI/CHA-
5074,batokchi,buttermilk,
5075,baya,"oak, esp. white oak; red oak",
5076,bayaɬi,acorn,
5077,bayba,to be heavy; to be a certain weight,CHA-
5078,báyba,to be heavier,CHA-
5079,Bayba,Bible,
5080,baybachi,to weigh (something),-LI/CHA-
5081,Baybalka,Bible,
5082,baybascháffàaka,one pound,
5083,baybastáɬɬìipan poolistòklo,one ton,
5084,bàykka,bicycle,
5085,bifítko,Negative form of bifitli,
5086,bifitli,"to be steam, steamy, steaming; to evaporate (of a liquid)",
5087,bifitlichi,to steam (something such as vegetables),-LI/3
5088,bihala,Var. of bihi,
5089,bihi,red mulberry; fig,
5090,bihi,"bow, gun, rifle, shotgun, blowgun",
5091,bihichampóoli,fig preserves,
5092,bihichoba,fig; red mulberry,
5093,bihichoba,"thirty-thirty rifle, thirty-aught-six rifle, shotgun",
5094,bihi iⁿhalatilka,trigger on a gun,
5095,bihi intali,barrel of gun,
5096,bihikoboksi,pistol,
5097,bihimaɬatli,red mulberry; wild fig,
5098,bihi mastimilhicha,sight on a gun barrel,
5099,bihinɬaki,"bullet, ammunition shell, gun cartridge",
5100,bihipofilka,blowgun; blowgun dart,
5101,bihipokta,double-barreled shotgun,
5102,bihistimpaachakafka,hammer on a gun,
5103,bihistimpaachakka,hammer on a gun,
5104,bihistimpaayilhicha,sight on a gun barrel,
5105,bihitokàalislawa,any automatic weapon,
5106,bihitokaalisnámpo,"machine gun, automatic gun",
5107,bihli,to have sexual intercourse with; to rape,-LI/CHA-
5108,bihosi,twenty-two caliber rifle,
5109,biif-,,
5110,biiffi,"to scrape off, pull off (hair, fur, feathers, etc.)",-LI/CHA-
5111,biiffichi,to cause (the hair) to fall out,-LI/3
5112,biifka,to fall out (of hair or feathers),
5113,bìifko,Negative form of biiffi,
5114,bìika,letter `B',
5115,biili,Var. of bihli,
5116,bìitli,dancer,
5117,Bikɬikitka,the Big Thicket,
5118,bíknilatakàaka,apron,
5119,bíkno,"to be younger, to have an older sibling of the opposite sex, have an older brother or sister; to be behind, have someone ahead of one",3/CHA-
5120,bíkno atakàaka,apron; penis,
5121,bíknòosi,a little while before,
5122,bila,"to melt, be melted",
5123,bilaachi,"to melt (something), make melt",-LI/3
5124,bilaatíkko,Negative form of bilaachi,
5125,bilatíkko,Negative form of bila,
5126,bilohli,"to be limber, flexible (as a switch); to be weak-kneed, wobbly (as a sick person or newborn animal); to shake, jiggle (as jelly); to be elastic, stretchy",Other Verb
5127,bilokhòmma,Var. of bolokhòmma,
5128,bilòoli,Var. of bilohli,
5129,biɬìi-,,
5130,biɬiika,to poke a hole in the ground to plant a seed,
5131,biɬìika,to be pointed at,CHA-
5132,biɬiikachi,to be appointed,CHA-
5133,biɬiikachitíkko,Negative form of biɬiikachi,
5134,biɬìiko,Negative form of biɬìili,
5135,biɬìili,to point at,-LI/CHA-
5136,biɬiilichi,to appoint to (a position); to point at for (a reason),-LI/CHA-
5137,biɬka,to poke holes in the ground to plant seeds,-LI/3
5138,biɬko,common persimmon,
5139,biɬoka,biɬka,
5140,binàaka,to be torn up,CHA-
5141,binàali,to tear up (plural objects),-LI/3
5142,binaffi,"to tear apart, rend in two",-LI/CHA-
5143,binaffichi,"to plow, till, turn soil, cultivate the ground",-LI/3
5144,binafka,"to erode, cave in, wash out, crumble in (of dirt); to be torn",
5145,binafkachi,"to be plowed, tilled",
5146,binìiko,Negative form of biniili,
5147,biniili,to go visiting; to sit,Other Verb
5148,binìili,visitor,
5149,bisíkko,Negative form of biska,
5150,bisipka,"to stick, gore with the horns or antlers (once)",-LI/CHA-
5151,bisisihka,a very small woodpecker,
5152,biska,"to stick (more than once), gore repeatedly with the horns or antlers",-LI/CHA-
5153,bitiima,"to be spoiled, smelly, decomposing (of dead things), stink",
5154,bitka,dance,
5155,bitka intáalwa,"caller at a dance, singer for dancers",
5156,bitkastittayapka,stealing dance,
5157,bitli,to dance,-LI
5158,bitlosi,toy top,Other Verb
5159,biya,beer,
5160,biyakha,"hawk species, poss. chicken hawk",
5161,biyakka,Var. of biyakha,
5162,biyyòkha,strawberry,
5163,bokboki,"hills, mounds, a bunch of ant hills",
5164,bokbokislawa,mountain range,
5165,bokbokissoba,mountain range,
5166,bokfòhko,Negative form of bokfooli,
5167,bokfooli,"to be moldy, mildewed",Other Verb
5168,bokko,"any protuberance, esp. rounded",
5169,bókko,Negative form of bokli,
5170,bokkoschaaha,mountain,
5171,bokkòssi,hill (one),
5172,bokkotíkko,Negative form of bokko,
5173,bokli,"to shuck, shell, hull (peas)",
5174,bokoko,drum,
5175,bokokobàatli,drummer,
5176,bokoko batli,"to beat a drum, to drum",-LI/3
5177,bokokolàachi,drummer,
5178,bolbo,kidneys,CHA-
5179,bollokha,type of small sunfish,
5180,bolokhòmma,"various reddish sunfish, red `perch', bream",
5181,bolokta,"to be circular, ringlike, round; to double (e.g. a recipe)",
5182,boloktachi,"to circle, make a circle around, surround; to make round, make in a circle",-LI/3
5183,boloktachitíkko,Negative form of boloktachi,
5184,bomboki,"to be round, mounded, contoured (as planted rows) (of more than one)",Other Verb
5185,bombokitíkko,Negative form of bomboki,
5186,bombóoki,"to be rounded, spherical",
5187,bonka,testicle; scrotum,AM-p
5188,bonnichi,"to make little mounds (for planting), roll into balls",-LI/3
5189,bonolee,Happy New Year!,
5190,bonoli,Var. of bonolee,
5191,bonotka,"to be round, spherical, circular (of one)",
5192,bonòtko,Negative form of bonotli,
5193,bonotli,"to roll up; to put up (hair) in a bun, wear (hair) in a bun; to roll (one object) into a mound as for planting, mound",-LI/3
5194,bonotlit ittachitìili,"to tie (two ends) into a knot, make a knot in",-LI/3
5195,bòsi,bushel,
5196,boska,to knead (dough for bread),-LI/3
5197,boslichi,"to sprinkle (of weather), be a light rain shower; to mist, be misty",
5198,boso,"Shake hands! Hello, how are you?",
5199,bosòoli,to be broken in pieces (of more than one),
5200,bosòtko,Negative form of bosotli,
5201,bosotli,"to chip off, crumble, be crumbled, shatter, crack up, break apart",Other Verb
5202,bosotlichi,"to crush, crumble, break into pieces, shatter",-LI/3
5203,bóssòtko,Negative form of bóssotli,
5204,bóssotli,to have been broken to pieces (and left that way),
5205,botoíkko,Negative form of botooka,
5206,botooka,"to be ground up, shattered",
5207,botòoko,Negative form of botooli,
5208,botooli,to grind,-LI/3
5209,botòoli,"miller, person who grinds",
5210,boyhoka,boyka,
5211,boyíkko,Negative form of boyka,
5212,boyka,to hoe,-LI
5213,boyòoli,"for dust to rise in a cloud; to disperse, scatter (of more than one)",3; -LI
5214,boyotli,"to be a cloud of dust; to scatter (of a mass); to start up, take off suddenly, fly away, bolt; to ejaculate semen",-LI
5215,boyotlichi,"to stir up a cloud of, raise a cloud of (e.g. dust), scatter; to gin (cotton)",-LI/3
5216,brasìiya,brassiere,
5217,waaka,cow,
5218,waakaayòoli,"to lift up, hoist (of more than one)",-LI/CHA-
5219,waakaboska,barbecued beef,
5220,waaka illapihchi hobaski,longhorn cattle,
5221,waaka inkamàaya,cowbell,
5222,waaka isholisso,"cattle brand, branding iron",
5223,waaka iwwataaka,yoke or tether (for a cow that gets into the garden),
5224,waakanaani,bull,
5225,waakanipo,beef,
5226,waakanipo solotka,dried beef jerky,
5227,waakapaapoksi,Brahma bull,
5228,waakasbatka,"bull whip, horse whip, buggy whip",
5229,waakasi,calf,
5230,waakatayyi,heifer,
5231,waakhoba iⁿwataaka,ox yoke,
5232,waakhòoba,cattle rustler,
5233,waakimaayilpa,"meadow, pasture",
5234,waakimanihtasi,"cow not fully grown, yearling",
5235,waakimpíchi,mother cow,
5236,waakimpisháhpa,fresh milk,
5237,waakimpisi,"cow's milk, udder, cow's teat",
5238,waakimpisi aayokbòokachi,butter churn,
5239,waakimpisi champolit chihbi,condensed milk,
5240,waakimpisi imokpalàali,risen cream,
5241,waakimpisi ishachàali,milk pitcher,
5242,waakimpisi okbòokachi,buttermilk,
5243,waakimpisipóosi,powdered milk,
5244,waakimpisisolotka,Var. of waakimpissolótka,
5245,waakimpisniya,"butter, cheese",
5246,waakimpisniya okchi,buttermilk,
5247,waakimpispóosi,Var. of waakimpisipóosi,
5248,waakimpissolótka,powdered milk,
5249,waakimpiswilohka,Var. of waakimpiswolohki,
5250,waakimpiswolohki,clabbered milk; cottage cheese,
5251,waakinchoswa,gut string,
5252,waakiⁿholihta,cow pasture,
5253,waakintakba,cow tripe,
5254,waakisbatka,bullwhip,
5255,waakistimataakachi,"cattle guard, grate across road preventing entry of cattle",
5256,waakníiya apala,Var. of waakniya apala,
5257,waaknipo aboska,barbecue,
5258,waakniya,Var. of wakniya,
5259,waakniya apala,candle,
5260,waakossiki,breed cow,
5261,waamaapa,Var. of woomaapa,
5262,waaya,"to be ripe, mature, mellow (e.g. of fruit), ready to harvest",CHA-
5263,waayàachi,grower,
5264,waayachi,to grow (something) to maturity; to raise,-LI/CHA-
5265,waayatilka,growth,
5266,waayoh-,,
5267,waayohka,to fly (of a few),-LI
5268,waayohli,to make or let fly off (plural objects),-LI/CHA-
5269,waayohlichi,to make or let fly (plural objects) (e.g. kites),-LI/CHA-
5270,waayoíkko,Negative form of waayòoka,
5271,waayòoka,"to fly (of several), swarm",-LI
5272,wachàakachi,"squeaking, creaking, cracking, popping sound",
5273,wachàalichi,"to squeak, creak, screech, crackle or groan (e.g. of trees in a wind)",-LI
5274,wachachahka,Var. of wachachahkachi,
5275,wachachahkachi,"squeaking, creaking, cracking, popping sound",
5276,wachikka,"tickle, a tickling feeling",
5277,wachikkachi,to be tickled,CHA-
5278,wachikkìicho,Negative form of wachiklichi,
5279,wachíkko,Negative form of wachikli,
5280,wachikli,to be ticklish,CHA-
5281,wachiklichi,to tickle,-LI/CHA-
5282,wachina,to speak English,-LI
5283,wachinatíkko,Negative form of wachina,
5284,wahaako,"to open branch stores or banks; to spread (as a family or group); to spread out, branch out (as horns, limbs, any sturdy thing)",-LI
5285,wahaakochi,to cause to spread or branch out,-LI/3
5286,wahkacháaha,Var. of wakhachàaha,
5287,wakaayohka,to fly (of two),-LI
5288,wakaayòoka,to fly (of more than two),-LI
5289,wakaayòoli,Var. of waakaayòoli,
5290,wakaskila,Var. of wakaskola,
5291,wakaskola,wooden or river cane flute,
5292,wakay-,,
5293,wakayíkko,Negative form of wakayka,
5294,wakayka,to fly (of one),-LI
5295,wakaykachi,"flying, flight",
5296,wakayli,"to lift up, hoist (of one)",-LI/CHA-
5297,wakaylichi,to make fly (as a kite),-LI/3
5298,wakchakaalichi,to spread the legs of (esp. a baby),-LI/CHA-
5299,wakchakaalichitíkko,Negative form of wakchakaalichi,
5300,wakchalaali,"to stand with the feet apart, stand with the legs spread, spread the legs, stand astraddle",-LI
5301,wakchaɬaalichi,"to spread apart, pull apart, open up (two things together, such as the prongs of a bobby pin separated so it will catch in an opening)",-LI/CHA-
5302,wakha,lower back,
5303,wakhachàaha,"great blue heron, crane, any long legged bird",
5304,wakha chanahki,"vertebra, backbone",
5305,wakha chofkoni,collar bone,
5306,wakhoba,"steer, ox",
5307,wakìiyo,Negative form of waaya,
5308,wakínho,Negative form of wanha,
5309,wakka,Var. of wakha,
5310,wakkachi,dance rattle,
5311,wakla,"to have a crack, chink, narrow opening, or space between two things",Other Verb
5312,wakniya,tallow,
5313,wakohka,"to have lots of cracks, be cracked in several places, break into pieces; to erode, break and chip off",
5314,wakohli,to crack (part way) more than one,-LI/3
5315,wakòoka,Var. of wakohka,
5316,wakòoli,Var. of wakohli,
5317,wakosíkko,Negative form of wakoska,
5318,wakoska,"to be cracked (but not all the way through); to have a piece broken or chipped off (e.g. of sheet rock, watermelon, etc.)",
5319,wakosli,"to crack part way (one object), chip off, put a break in",-LI/3
5320,waliichi,Var. of waliilichi,
5321,waliihíkko,Negative form of waliika,
5322,waliika,"to run away, run (of one); to operate, function, start up (of a machine)",-LI
5323,waliikachi,driving,
5324,waliikìicho,Negative form of waliilichi,
5325,waliilichi,"to drive (a car), run, operate, turn on or start (a vehicle or machine), fly (an airplane); to run someone off",-LI/CHA-
5326,waliilìichi,driver,
5327,wállìika,to be running,-LI
5328,wállìilichi,"to manage, run, drive or operate (something) on a regular basis (as a branch business)",-LI/3
5329,walohli,to be fresh (of vegetables),Other Verb
5330,walwáaki,"to be very ripe, fully mature, still very tender (of vegetation)",
5331,walwáakòosi,"to be tender (as young animals or vegetation), almost ripe",
5332,walwaki,"to be tender (as of ripe fruit, young shoots or young animals)",
5333,walwakitíkko,Negative form of walwaki,
5334,wananaalichi,Var. of wananahlichi,
5335,wananahkachi,"to shake, quiver (esp. as leaves on a tree)",
5336,wananahlichi,"to shiver all over, shake with cold",CHA-
5337,wananatlichi,Var. of wananahlichi,
5338,wancholàski,"chiggers, red bugs",
5339,wanha,"to be hard (the opposite of soft), tough; to be frozen solid",CHA-
5340,wánhàasi,to remain hard,CHA-
5341,wanhachi,"to make tough, overcook, cause to harden",-LI/3
5342,wasaatíkko,Negative form of wasatka,
5343,wasaawòoka,to be gone (of more than one),-LI
5344,wasahka,"to go, leave, disappear (of more than one)",-LI
5345,wasahli,to get rid of (plural objects),-LI/CHA-
5346,wasakohchi,Var. of osakohchi,
5347,wasasàalichi,Var. of wasasahlichi,
5348,wasasahkìicho,Negative form of wasasahlichi,
5349,wasasahlichi,"to make a crunching noise, crunch",-LI
5350,wasat-,,
5351,wasatka,"to go, leave, disappear, be gone (of two)",-LI
5352,wasàtko,Negative form of wasatli,
5353,wasatli,"to get rid of, lose (one object)",-LI/CHA-
5354,wasihka,"itch, raw spot",
5355,wasihko,"to have chapped, dried out skin, mange",CHA-
5356,wasìhko,Negative form of wasihli,
5357,wasihli,"to be ticklish; to itch, have a rash, have eczema",CHA-
5358,wasihlichi,"to tickle (one), make itch, scratch an itch",-LI/CHA-
5359,wasiiko,Var. of wasihko,
5360,waskachi,"flute; a buffalo tail used to make rain with, bullroarer?",
5361,waskila,Var. of waskola,
5362,wasko,"to have mange, be mangy",CHA-
5363,waskola,"whistle; any flute, esp. cane flute",
5364,waslichi,"to tickle (plural objects); to scratch an itch, rub, scrape",-LI/CHA-
5365,waso,"wolf, coyote",
5366,wasobitka,wolf dance,
5367,waso iⁿhapanchokko,unidentified plant species,
5368,wasontometo,Var. of waso iⁿhapanchokko,
5369,wassalakchi,"limb, branch (of tree or creek), antlers",
5370,wássatka,to leave and not come back (of two); to be (still) gone (of two),-LI
5371,wataaka,anything worn around the neck,
5372,wataali,"to put around the neck, put on (a tie), wear (a harness)",-LI/3
5373,wataalichi,"to put a tie on (someone), put a harness on (a horse) (one object)",-LI/CHA-
5374,wataka,Var. of wataaka,
5375,watasli,"to put on a tie, wear a necktie, wear a harness (of more than one)",-LI
5376,wataslichi,to put harnesses on (a team of horses),-LI/3
5377,watola,type of powerful bird of prey; eagle,
5378,wáttàali,to wear around the neck (of one),-LI/3
5379,wayàali,to wave,-LI/3
5380,wàyka,the letter `Y',
5381,wayli,to raise (the hand),-LI/3
5382,wihaachi,"to haul, carry (a load)",-LI/3
5383,wihilka,Var. of iwwìilka,
5384,wíhko,Negative form of wihli,
5385,wihli,"to look for, hunt for, search for, seek; to collect, gather, pick (things that have to be looked for such as pine needles, berries, mayhaws)",-LI/CHA-
5386,wihlichi,Var. of wiilichi,
5387,wíiha,Var. of óyha,
5388,wìihíkko,Negative form of wìika,
5389,wìika,"to live somewhere, stay at a place, be located, hang around (of one)",-LI
5390,wíika,to keep on doing; to still be living (of one),
5391,wiikàachi,"to live somewhere, stay at a place, be located, hang around (of two)",
5392,wiili,Var. of wihli,
5393,wiilichi,to shake (something) (of one),-LI/CHA-
5394,wilichoolaksi,tongue of a shoe,
5395,wiliksi,to be gathered (of fabric),
5396,wilintalka,heel (of a shoe),
5397,wilintalka hochaaha,high heel shoes,
5398,wilistiyyòoka,"shoe lace, lace",
5399,wilitapatkáachi,"flat heeled shoes, tennis shoes",
5400,wilo,shoe,
5401,wilohakcho ishobaski,pair of boots,
5402,wilo iⁿhakchíisa,boot; high top shoes,
5403,wilo iⁿhakcho,top of the shoe,
5404,wilo paahaɬka,overshoes,
5405,wiloshamohka,shoe polish,
5406,wilospaahaɬka,Var. of wilo paahaɬka,
5407,wilostalpasoilka,shoe polish,
5408,wilostalpasooha,Var. of wilostaposooha,
5409,wilostalposooha,shoe polish,
5410,winàali,"to swing; to flutter, jiggle",-LI
5411,winàalichi,"to shake, jiggle, or swing (someone or thing) (repeatedly)",-LI/CHA-
5412,wininìhka,Var. of wininihkachi,
5413,wininihkachi,"rumble, rumbling noise (e.g. thunder)",
5414,wininihlichi,"to make a rumbling noise, rumble",
5415,wininiilichi,"to shiver, shake all over",-LI
5416,winóhlóosi,Var. of winóolòosi,
5417,winòoli,"to shake oneselves repeatedly, jiggle, swing (of more than one)",-LI
5418,winòolichi,"to shake repeatedly, rock (e.g. a baby)",-LI/CHA-
5419,winóolòosi,"to sway (as an old person walking or as a truck under a heavy load), shake under the strain of a load (as a bridge)",-LI
5420,winotlichi,"to shake (once), jar, jerk, rock (one time)",-LI/CHA-
5421,wisisihka,something that will make one nervous,
5422,wisisihkachi,to be nervous,CHA-
5423,wisisihlichi,"to shake, shiver, quake, tremble, quiver involuntarily (as with palsy, chills, fever, nervousness)",CHA-
5424,wisisìilichi,Var. of wisisihlichi,
5425,wiyaachi,Var. of wihaachi,
5426,wiyaali,Var. of wayàali,
5427,Wodba,Var. of Wodwiila,
5428,Wodfiilka,Var. of Wodwiila,
5429,Wodwiila,"Woodville, Texas",
5430,wohka,to bark,-LI
5431,wohlichi,to bark at,-LI/CHA-
5432,woíkko,Negative form of wohka,
5433,woksipaali,"egret, `whooping crane', prob. any large long-legged white bird",
5434,wolohíkko,Negative form of wolohki,
5435,wolohki,"to gel, congeal, turn to jelly, clot (of blood), curdle (of milk), clabber",
5436,wóokìicho,Negative form of wòolichi,
5437,wooksi,"to be furry, woolly, bushy; to be mussed, unruly, wild (of hair)",CHA-
5438,wòolichi,"to root up (e.g. of a hog or armadillo), sniff out (food), root around, dig up (food)",
5439,woomaalpa,deafness,
5440,woomaapa,to be deaf; to be unable to hear because the ears are ringing,Other Verb
5441,woomaapachi,to make deaf,-LI/CHA-
5442,woomaapatilka,deafness,
5443,wotòolichi,to crunch with the teeth; to grind (the teeth); to chew something up into pieces,-LI/3
5444,wowohka,Var. of wohka,
5445,aabàachi,teacher,
5446,aabachi,"to teach (a subject), instruct",-LI/3
5447,aabachitíkko,Negative form of aabachi,
5448,aabachitilka,teaching,
5449,aabalàilka,bed; bedroom,
5450,aabalàilkasi,cot,
5451,aabitka,"dance grounds, stomp grounds, dancehall",
5452,aabóhko,Negative form of aabohli,
5453,aabohli,"to clean, wash; to scrub, rub clean",-LI/3
5454,aachàaka,Var. of ahachàaka,
5455,aachàaka holisso,Var. of ahachàaka holisso,
5456,aacháako,Var. of ahachàako,
5457,aachàali,Var. of ahachàali,
5458,áachàasi,just right outside,
5459,aachikìika,to be put in a specific location (of a few),Other Verb
5460,aachikìika,to settle in a certain location (of a few),Other Verb
5461,àafiska,office,
5462,aahaapilka,"bathtub; dishpan; swimming pool, swimming hole",
5463,aahaatanatka,"turnaround, turnout, crossover in a divided highway",
5464,aahapkachi,"pan for giving a bath (to a baby), basin",
5465,aahiɬka,heater,
5466,aahisli,to borrow (of more than one),-LI/3
5467,aahislichi,to extend credit to more than one person,-LI/CHA-
5468,aahofanti,"to be from a place, be born in a certain place",CHA-
5469,aaholba,studio (artist's or photography),
5470,aaholippola,"latrine, temporary toilet",
5471,aaholippola iisasi,outhouse,
5472,aaholiswa,"bathroom, toilet, urinal, bedpan",
5473,aaholponi,"stove, range, oven, microwave; pan, cooking pot",
5474,aahompanka,"amphitheater, gymnasium",
5475,aahoponka,kitchen,
5476,aahopòoni,kitchen,
5477,aahoppolka,"bathroom, outhouse, restroom; toilet, commode",
5478,aahoppolka iisasi,outhouse,
5479,aakasahka,"freezer, refrigerator",
5480,aakmi,Var. of akmi,
5481,aakmistatakka,Var. of akmistatakka,
5482,aalaana,"any red oak, burr oak, overcup oak, southern red oak",
5483,aalhíkko,Negative form of ahalka,
5484,aalibatka,"any place for cooking such as oven, stove, pots and pans, barbecue pit",
5485,aalka,Var. of ahalka,
5486,aalo,Var. of ahaalo,
5487,áalo,"to wish for, hope for something, want, expect; to wonder about, think about, guess at, worry about",-LI/3; -LI/CHA-
5488,aalokha,brain; bone marrow,AM-p
5489,aalokòoka,church (building),
5490,aalokòoli,church (building),
5491,aalomhi,to block,Other Verb
5492,aaloⁿhilka,"hiding place, cache, hide-out",
5493,áalòosi,"(do) a lot, (do) too much, very, too",
5494,àaɬi,to wear (e.g. gloves) on the hand,-LI/3
5495,aaɬoyhilka,"bathroom, toilet, urinal, bedpan",
5496,aaɬoyilka,Var. of aaɬoyhilka,
5497,aamat-,,
5498,aamatka,"to disperse, scatter, all go home, break up a meeting; to be scrambled (of eggs)",-LI
5499,aamatli,"to scatter (a bunch), disperse, mix into, crumble up; to scramble (an egg); to spread (the word)",-LI/CHA-
5500,áammatka,to be scattered all over,CHA-
5501,aapàkha,"shoulder blade, back of shoulder",CHA-
5502,aapihchi,body,CHA-
5503,aapihchi istilatonka,body armor,
5504,aapikìtto,Negative form of aapitta,
5505,aapitta,to put in (plural objects); to can (food),-LI/CHA-
5506,áapo,grandmother,AM-p
5507,áapochòoba,"grandmother, greataunt, forebear, female ancestor",
5508,aapooba,Var. of alpooba,
5509,áaposi,"paternal aunt, father's sister",AM-p
5510,aapoyatli,stew pan,
5511,àasa,"to be with, be mixed with, be included with, be together with, be added to, be plus; to inherit",-LI/CHA-
5512,aasih-,,
5513,aasihíkko,Negative form of aasihka,
5514,aasihka,"to be washed, to have been washed",CHA-
5515,aasìhko,Negative form of aasihli,
5516,aasihli,"to wash (something), brush (the teeth)",-LI/CHA-
5517,aasiili,Var. of aasihli,
5518,àasko,Negative form of àasa,
5519,aasobayli,schoolhouse,
5520,aasobohli,"fireplace, chimney",
5521,aasoboolifa imitalokòoli,andirons,
5522,aasobotli,"fireplace, chimney; any place for drying or smoking, such as a smokehouse",
5523,aasoopka,Var. of aksoopka,
5524,àata,"to stay, be located, be here, be there, live (of one or two)",-LI
5525,aataayòompa,any place to eat,
5526,aataksi,Var. of ahataksi,
5527,aataksibahka,Var. of ahataksi bahka,
5528,aataksi ipa,potato bug,
5529,aataksipa,Var. of aataksi ipa,
5530,aataksi solotka,Var. of ahataksi solotka,
5531,aatalikchi,"doctor; medicine maker, shaman",
5532,aatalòosti,braggart,
5533,aatanatka,stairs,
5534,aatapihhómma,Var. of aati aapihchi hómma,
5535,aatapihómma,Var. of aati aapihchi hómma,
5536,aatasihka,law enforcer,
5537,àatatíkko,Negative form of àata,
5538,aatatka,"white person, Anglo, Caucasian; boss, teacher",
5539,aatatkasi,"Anglo child, white child",
5540,aatayokíkpo,"gloomy, depressed person, depressive",
5541,aatchakosi,"dwarf, midget",
5542,aatchitìika,wrestler,
5543,aatchofkoni,"skeleton, human bones",
5544,aatchòoba,"old person, senior citizen, elderly person",
5545,aathochòobimìistilka,"nursing home, retirement home",
5546,aatholba,"picture (of a person), photograph, portrait",
5547,aatholba istatakàaka,picture frame,
5548,aatholbasi,doll,
5549,aathollo,"witch, sorcerer",
5550,aathómma,Var. of aatihòmma,
5551,aathòmma,Var. of aatihòmma,
5552,aathòmma imìistilka,Indian reservation,
5553,aathòmma imoolachòoba,Indian reservation,
5554,aathòmma ispaanihókkìita,"half-breed, Indian and Mexican",
5555,aathómma istiⁿyyaatala,"traditional Indian ceremonial headdress, war bonnet",
5556,aathòmma loochahókkìita,"half-breed, Indian and black",
5557,aathòmma tatkahókkìita,"half-breed, Indian and white or Indian and black",
5558,aathompàani,"actor, actress",
5559,aathoopa iswihka,ambulance,
5560,aathoopimiisa,hospital,
5561,aati,"American Indian, Native American; person, human being",
5562,aati aapihchi hómma,"American Indian, Native American",
5563,aati achaki,midget,
5564,aatibi,to commit murder (unspecified object),-LI/3
5565,aatichóhba,adult person,
5566,aatichòoba ichokhiska,"Grancy graybeard, fringetree, old man's beard",
5567,aatichòobichokhiska,Var. of aatichòoba ichokhiska,
5568,aatichoosanàyli,yaupon tree,
5569,aatihàapka,swimmer,
5570,aatihàhpa,newcomer,
5571,aatihakkònni,person handicapped with a limp,
5572,aatihifòoska,"creature, living thing, being, human being",
5573,aatihínnàata,"leader, officer",
5574,aatihòmma,"American Indian, Native American",
5575,aatihòmma imbitka,stomp dance,
5576,aatihòoba,thief,
5577,aatìibi,"murderer, killer",
5578,aati imaayttanolìwwootoha,old Indian trace or trail through the woods,
5579,aati iⁿɬakíisa,police officer,
5580,aatikàano,good person,
5581,aatikànko,"bad person, enemy",
5582,aatiki,(my) wife,
5583,aatikostìnko,crazy person,
5584,aatikostìnko imìistilka,"insane asylum, mental hospital",
5585,aatilaana,Oriental person,
5586,aatiláppìili,leader,
5587,aatilbi,murder,
5588,aatilhichíkso,"dwarflike being; fairy, elf",
5589,aatilli,"corpse, the deceased, dead body",
5590,aatilliha,dead people,
